Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
54;250;42;formation non sélective
54;24;0;formation sélective
54;35;2;formation sélective
54;15;0;formation sélective
54;52;4;formation sélective
54;135;18;formation sélective
54;35;1;formation sélective
55;35;1;formation sélective
55;18;0;formation sélective
55;30;1;formation sélective
56;32;1;formation sélective
56;48;48;formation sélective
56;35;0;formation sélective
56;15;0;formation sélective
56;24;1;formation sélective
56;35;0;formation sélective
56;50;2;formation sélective
56;35;0;formation sélective
56;35;0;formation sélective
56;35;1;formation sélective
56;76;36;formation sélective
56;24;3;formation sélective
56;112;24;formation non sélective
56;40;1;formation non sélective
56;260;149;formation non sélective
56;144;45;formation non sélective
57;24;0;formation sélective
57;15;1;formation sélective
57;35;3;formation sélective
57;15;0;formation sélective
57;24;0;formation sélective
57;30;0;formation sélective
57;168;54;formation sélective
57;140;37;formation sélective
57;90;3;formation non sélective
57;160;56;formation non sélective
57;110;23;formation non sélective
57;90;19;formation non sélective
57;54;0;formation non sélective
57;50;12;formation non sélective
57;300;101;formation non sélective
57;45;0;formation non sélective
57;15;0;formation sélective
57;24;0;formation sélective
57;30;0;formation sélective
57;15;0;formation sélective
57;24;0;formation sélective
57;6;5;formation sélective
57;24;2;formation sélective
57;35;1;formation sélective
58;26;23;formation sélective
58;24;0;formation sélective
58;34;4;formation sélective
58;12;2;formation sélective
59;48;34;formation sélective
59;18;1;formation sélective
59;36;0;formation sélective
59;30;0;formation sélective
59;35;0;formation sélective
59;18;0;formation sélective
59;35;6;formation sélective
59;24;2;formation sélective
59;62;56;formation sélective
59;24;0;formation sélective
59;35;1;formation sélective
59;59;17;formation sélective
59;15;0;formation sélective
59;30;0;formation sélective
59;15;0;formation sélective
59;15;0;formation sélective
59;30;3;formation sélective
59;15;0;formation sélective
59;13;8;formation sélective
59;13;4;formation sélective
59;13;6;formation sélective
59;32;1;formation sélective
59;24;0;formation sélective
59;32;0;formation sélective
59;16;0;formation sélective
59;32;0;formation sélective
59;35;0;formation sélective
59;30;0;formation sélective
59;48;19;formation sélective
59;59;1;formation sélective
59;35;1;formation sélective
59;48;48;formation sélective
59;100;77;formation sélective
59;173;57;formation sélective
59;34;1;formation sélective
59;35;1;formation sélective
59;32;0;formation sélective
59;35;2;formation sélective
59;30;0;formation sélective
59;30;0;formation sélective
59;36;1;formation sélective
59;20;0;formation sélective
59;36;1;formation sélective
59;48;20;formation sélective
59;48;4;formation sélective
59;24;2;formation sélective
59;36;4;formation sélective
59;35;1;formation sélective
59;50;15;formation non sélective
59;70;9;formation non sélective
59;180;47;formation non sélective
59;120;28;formation sélective
59;70;13;formation non sélective
59;50;4;formation non sélective
59;150;47;formation non sélective
59;40;4;formation sélective
59;200;73;formation non sélective
59;90;35;formation sélective
59;80;12;formation non sélective
59;370;202;formation non sélective
59;225;63;formation non sélective
59;100;25;formation non sélective
59;1085;451;formation non sélective
59;100;31;formation sélective
59;15;0;formation sélective
59;30;0;formation sélective
59;15;0;formation sélective
59;66;1;formation sélective
59;58;23;formation sélective
